date,rank,name
2025-09-12,37,杖剑传说
2025-09-13,41,杖剑传说
2025-09-14,39,杖剑传说
2025-09-15,35,杖剑传说
2025-09-16,39,杖剑传说
2025-09-17,37,杖剑传说
2025-09-18,33,杖剑传说
2025-09-19,32,杖剑传说
2025-09-20,36,杖剑传说
2025-09-21,34,杖剑传说
2025-09-22,29,杖剑传说
2025-09-23,28,杖剑传说
2025-09-24,35,杖剑传说
2025-09-25,20,杖剑传说
2025-09-26,27,杖剑传说
2025-09-27,30,杖剑传说
2025-09-28,32,杖剑传说
2025-09-29,40,杖剑传说
2025-09-30,41,杖剑传说
2025-10-01,56,杖剑传说
2025-10-02,38,杖剑传说
2025-10-03,28,杖剑传说
2025-10-04,36,杖剑传说
2025-10-05,35,杖剑传说
2025-10-06,38,杖剑传说
2025-10-07,39,杖剑传说
2025-10-08,34,杖剑传说
2025-10-09,40,杖剑传说
2025-10-10,43,杖剑传说
2025-10-11,44,杖剑传说
2025-10-12,42,杖剑传说
2025-10-13,40,杖剑传说
2025-10-14,40,杖剑传说
2025-10-15,41,杖剑传说
2025-10-16,35,杖剑传说
2025-10-17,42,杖剑传说
2025-10-18,43,杖剑传说
2025-10-19,39,杖剑传说
2025-10-20,37,杖剑传说
2025-10-21,38,杖剑传说
2025-10-22,40,杖剑传说
2025-10-23,37,杖剑传说
2025-10-24,43,杖剑传说
2025-10-25,33,杖剑传说
2025-10-26,36,杖剑传说
2025-10-27,37,杖剑传说
2025-10-28,37,杖剑传说
2025-10-29,39,杖剑传说
2025-10-30,23,杖剑传说
2025-10-31,33,杖剑传说
2025-11-01,41,杖剑传说
2025-11-02,42,杖剑传说
2025-11-03,42,杖剑传说
2025-11-04,36,杖剑传说
2025-11-05,44,杖剑传说
2025-11-06,35,杖剑传说
2025-11-07,40,杖剑传说
2025-11-08,47,杖剑传说
2025-11-09,44,杖剑传说
2025-11-10,43,杖剑传说
2025-11-11,42,杖剑传说
2025-11-12,44,杖剑传说
2025-11-13,33,杖剑传说
2025-11-14,39,杖剑传说
2025-11-15,41,杖剑传说
2025-11-16,40,杖剑传说
2025-11-17,37,杖剑传说
2025-11-18,32,杖剑传说
2025-11-19,35,杖剑传说
2025-11-20,33,杖剑传说
2025-11-21,43,杖剑传说
2025-11-22,47,杖剑传说
2025-11-23,46,杖剑传说
2025-11-24,46,杖剑传说
2025-11-25,42,杖剑传说
2025-11-26,47,杖剑传说
2025-11-27,31,杖剑传说
2025-11-28,39,杖剑传说
2025-11-29,45,杖剑传说
2025-11-30,47,杖剑传说
2025-12-01,50,杖剑传说
2025-12-02,48,杖剑传说
2025-12-03,49,杖剑传说
2025-12-04,36,杖剑传说
2025-12-05,47,杖剑传说
2025-12-06,53,杖剑传说
2025-12-07,49,杖剑传说
2025-12-08,49,杖剑传说
2025-12-09,45,杖剑传说
2025-12-10,46,杖剑传说
2025-12-11,38,杖剑传说
2025-12-12,43,杖剑传说
2025-12-13,46,杖剑传说
2025-12-14,43,杖剑传说
2025-12-15,44,杖剑传说
2025-12-16,46,杖剑传说
2025-12-17,47,杖剑传说
2025-12-18,37,杖剑传说
2025-12-19,53,杖剑传说
2025-12-20,58,杖剑传说
2025-12-21,58,杖剑传说
2025-12-22,53,杖剑传说
2025-12-23,63,杖剑传说
2025-12-24,62,杖剑传说
2025-12-25,52,杖剑传说
2025-12-26,56,杖剑传说
2025-12-27,59,杖剑传说
2025-12-28,58,杖剑传说
2025-12-29,61,杖剑传说
2025-12-30,63,杖剑传说
2025-12-31,64,杖剑传说
2026-01-01,53,杖剑传说
2026-01-02,56,杖剑传说
2026-01-03,54,杖剑传说
2026-01-04,52,杖剑传说
2026-01-05,53,杖剑传说
2026-01-06,51,杖剑传说
2026-01-07,51,杖剑传说
2026-01-08,51,杖剑传说
2026-01-09,53,杖剑传说
2026-01-10,54,杖剑传说
2026-01-11,50,杖剑传说
2026-01-12,48,杖剑传说
2026-01-13,50,杖剑传说
2026-01-14,54,杖剑传说
2026-01-15,53,杖剑传说
2026-01-16,54,杖剑传说
2026-01-17,52,杖剑传说
2026-01-18,47,杖剑传说
2026-01-19,47,杖剑传说
2026-01-20,43,杖剑传说
2026-01-21,49,杖剑传说
2026-01-22,37,杖剑传说
2026-01-23,42,杖剑传说
2026-01-24,42,杖剑传说
2026-01-25,41,杖剑传说
2026-01-26,42,杖剑传说
2026-01-27,42,杖剑传说
2026-01-28,44,杖剑传说
2026-01-29,45,杖剑传说
2026-01-30,47,杖剑传说
2026-01-31,51,杖剑传说
2026-02-01,50,杖剑传说
2026-02-02,49,杖剑传说
2026-02-03,53,杖剑传说
2026-02-04,55,杖剑传说
2026-02-05,60,杖剑传说
2026-02-06,61,杖剑传说
2026-02-07,64,杖剑传说
2026-02-08,58,杖剑传说
2026-02-09,59,杖剑传说
2026-02-10,66,杖剑传说
2026-02-11,67,杖剑传说
2026-02-12,51,杖剑传说
2026-02-13,59,杖剑传说
2026-02-14,61,杖剑传说
2026-02-15,63,杖剑传说
2026-02-16,66,杖剑传说
2026-02-17,71,杖剑传说
2026-02-18,63,杖剑传说
2026-02-19,51,杖剑传说
2026-02-20,53,杖剑传说
2026-02-21,51,杖剑传说
2026-02-22,53,杖剑传说
2026-02-23,54,杖剑传说
2026-02-24,58,杖剑传说
2026-02-25,55,杖剑传说
2026-02-26,45,杖剑传说
2026-02-27,45,杖剑传说
2026-02-28,42,杖剑传说
2026-03-01,44,杖剑传说
2026-03-02,45,杖剑传说
2026-03-03,41,杖剑传说
2026-03-04,41,杖剑传说
2026-03-05,48,杖剑传说
2026-03-06,52,杖剑传说
2026-03-07,54,杖剑传说
2026-03-08,51,杖剑传说
2026-03-09,52,杖剑传说
2026-03-10,49,杖剑传说
2026-03-11,54,杖剑传说
2026-03-12,51,杖剑传说
2026-03-13,52,杖剑传说
2026-03-14,51,杖剑传说
2026-03-15,47,杖剑传说
2026-03-16,49,杖剑传说
2026-03-17,39,杖剑传说
2026-03-18,39,杖剑传说
2026-03-19,51,杖剑传说
2026-03-20,57,杖剑传说
2026-03-21,59,杖剑传说
2026-03-22,54,杖剑传说
2026-03-23,54,杖剑传说
2026-03-24,55,杖剑传说
2026-03-25,58,杖剑传说
2026-03-26,55,杖剑传说
2026-03-27,64,杖剑传说
2026-03-28,62,杖剑传说
2026-03-29,61,杖剑传说
2026-03-30,56,杖剑传说
2026-03-31,57,杖剑传说
2026-04-01,64,杖剑传说
2026-04-02,65,杖剑传说
2026-04-03,61,杖剑传说
2026-04-04,70,杖剑传说
2026-04-05,71,杖剑传说
2026-04-06,74,杖剑传说
2026-04-07,73,杖剑传说
2026-04-08,77,杖剑传说
2026-04-09,63,杖剑传说
2026-04-10,60,杖剑传说
2026-04-11,65,杖剑传说
2026-04-12,67,杖剑传说
2026-04-13,66,杖剑传说
2026-04-14,62,杖剑传说
2026-04-15,65,杖剑传说
2026-04-16,59,杖剑传说
2026-04-17,60,杖剑传说
2026-04-18,67,杖剑传说
2026-04-19,70,杖剑传说
2026-04-20,68,杖剑传说
2026-04-21,68,杖剑传说
2026-04-22,75,杖剑传说
2026-04-23,67,杖剑传说
2026-04-24,69,杖剑传说
2026-04-25,73,杖剑传说
2026-04-26,75,杖剑传说
2026-04-27,70,杖剑传说
2026-04-28,77,杖剑传说
2026-04-29,86,杖剑传说
2026-04-30,79,杖剑传说
2026-05-01,93,杖剑传说
2026-05-02,91,杖剑传说
2026-05-03,83,杖剑传说
2026-05-04,81,杖剑传说
2026-05-05,81,杖剑传说
2026-05-06,83,杖剑传说
2026-05-07,74,杖剑传说
2026-05-08,76,杖剑传说
2026-05-09,74,杖剑传说
2026-05-10,70,杖剑传说
2026-05-11,69,杖剑传说
2026-05-12,66,杖剑传说
2026-05-13,68,杖剑传说
2026-05-14,59,杖剑传说
2026-05-15,64,杖剑传说
2026-05-16,68,杖剑传说
2026-05-17,62,杖剑传说
2026-05-18,63,杖剑传说
2026-05-19,67,杖剑传说
2026-05-20,75,杖剑传说
2026-05-21,71,杖剑传说
2026-05-22,74,杖剑传说
2026-05-23,72,杖剑传说
2026-05-24,69,杖剑传说
2026-05-25,67,杖剑传说
2026-05-26,65,杖剑传说
2026-05-27,73,杖剑传说
2026-05-28,54,杖剑传说
2026-05-29,67,杖剑传说
2026-05-30,71,杖剑传说
2026-05-31,74,杖剑传说
2026-06-01,77,杖剑传说
2026-06-02,76,杖剑传说
2026-06-03,76,杖剑传说
2026-06-04,55,杖剑传说
2026-06-05,66,杖剑传说
2026-06-06,65,杖剑传说
2026-06-07,62,杖剑传说
2026-06-08,63,杖剑传说
2026-06-09,63,杖剑传说
2026-06-10,71,杖剑传说
2026-06-11,54,杖剑传说
2026-06-12,60,杖剑传说
2026-06-13,60,杖剑传说
2026-06-14,56,杖剑传说
2026-06-15,58,杖剑传说
2026-06-16,58,杖剑传说
2026-06-17,64,杖剑传说
2026-06-18,74,杖剑传说
2026-06-19,81,杖剑传说
2026-06-20,75,杖剑传说
2026-06-21,68,杖剑传说
2026-06-22,69,杖剑传说
2026-06-23,65,杖剑传说
2026-06-24,67,杖剑传说
2026-06-25,57,杖剑传说
2026-06-26,66,杖剑传说
2026-06-27,66,杖剑传说
2026-06-28,67,杖剑传说
2026-06-29,65,杖剑传说
2026-06-30,69,杖剑传说
2026-07-01,73,杖剑传说
2026-07-02,72,杖剑传说
2026-07-03,76,杖剑传说
2026-07-04,69,杖剑传说
2026-07-05,71,杖剑传说
2026-07-06,71,杖剑传说
2026-07-07,66,杖剑传说
2026-07-08,67,杖剑传说
2026-07-09,64,杖剑传说
2026-07-10,72,杖剑传说
2026-07-11,74,杖剑传说
2026-07-12,72,杖剑传说
2026-07-13,72,杖剑传说
2026-07-14,66,杖剑传说
2026-07-15,72,杖剑传说
2026-07-16,74,杖剑传说
